stats_entry_id,player_id,game_date,vs_team,outcome,min,fgm_fga,fg_per,threem_threea,three_per,ftm_fta,ft_per,rebounds,assists,blocks,steals,fouls,turnovers,points
3166,119,Mon 11/18,@PROVIDENCE,"L 70-49
",29,3-7,.429,2-5,.400,1-3,.333,0,0,0,0,3,1,9
3167,119,Thu 11/21,@WAGNER,"L 68-61
",35,2-8,.250,0-4,.000,2-3,.667,1,1,0,1,4,2,6
3168,119,Sun 11/24,@#6 DUKE,"L 91-90
",34,7-12,.583,0-2,.000,2-2,1.0,4,9,0,0,3,0,16
3169,119,Wed 11/27,vsILLINOIS STATE,"W 87-76
",38,8-15,.533,6-7,.857,2-2,1.0,5,5,1,2,2,2,24
3170,119,Fri 11/29,@SAN FRANCISCO,"L 72-61
",38,3-9,.333,1-4,.250,4-6,.667,2,1,0,2,4,3,11
3171,119,Sat 11/30,vsSONOMA ST,"W 73-61
",22,3-9,.333,3-4,.750,4-6,.667,2,2,1,0,4,0,13
3172,119,Sun 12/15,vsQUINNIPIAC,"L 80-67
",38,6-15,.400,1-2,.500,0-0,.000,1,0,0,2,2,0,13
3173,119,Wed 12/18,@UMASS LOWELL,"W 62-48
",33,4-9,.444,0-2,.000,6-6,1.0,7,0,0,2,3,2,14
3174,119,Sat 12/21,@HARVARD,"L 74-68
",35,11-19,.579,4-6,.667,4-6,.667,3,2,0,0,3,4,30
3175,119,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",19,4-8,.500,2-4,.500,2-2,1.0,2,2,0,0,1,0,12
3176,119,Sat 1/4,@DARTMOUTH,"W 62-53
",34,1-10,.100,0-1,.000,9-10,.900,5,0,1,2,3,1,11
3177,119,Wed 1/8,@YALE,"W 67-59
",37,4-8,.500,1-2,.500,5-6,.833,8,0,1,1,1,3,14
3178,119,Sat 1/11,vsALBANY,"W 68-38
",27,4-9,.444,3-4,.750,2-2,1.0,1,0,2,2,2,2,13
3179,119,Thu 1/16,@MAINE,"W 83-46
",19,2-4,.500,2-3,.667,0-0,.000,1,1,1,1,3,2,6
3180,119,Sat 1/18,@UMBC,"W 73-47
",23,4-11,.364,2-6,.333,2-2,1.0,5,2,0,0,4,1,12
3181,119,Mon 1/20,vsNEW HAMPSHIRE,"W 57-40
",37,4-14,.286,3-7,.429,0-0,.000,6,0,2,2,3,1,11
3182,119,Fri 1/24,@STONY BROOK,"L 67-64
",34,0-9,.000,0-4,.000,0-0,.000,2,2,0,1,3,1,0
3183,119,Sun 1/26,vsBINGHAMTON,"W 72-39
",29,1-6,.167,1-5,.200,0-0,.000,2,4,1,1,0,1,3
3184,119,Wed 1/29,@HARTFORD,"W 67-60
",27,3-8,.375,2-2,1.0,3-4,.750,5,4,0,0,4,1,11
3185,119,Sat 2/1,@ALBANY,"W 55-45
",36,5-12,.417,3-7,.429,4-4,1.0,6,2,0,0,0,1,17
3186,119,Tue 2/4,vsMAINE,"W 93-65
",28,8-9,.889,4-5,.800,0-0,.000,4,7,0,3,1,1,20
3187,119,Wed 2/12,vsUMASS LOWELL,"W 83-58
",27,5-8,.625,2-3,.667,1-3,.333,2,1,1,4,0,2,13
3188,119,Sat 2/15,vsUMBC,"W 76-52
",26,5-8,.625,0-1,.000,0-0,.000,1,3,0,3,0,0,10
3190,120,Sat 11/9,vsSAINT JOSEPH'S,"L 74-64
",11,1-1,1.0,0-0,.000,0-0,.000,1,0,0,1,0,0,2
3191,120,Tue 11/12,vsSIENA,"W 77-66
",9,0-0,.000,0-0,.000,2-3,.667,2,0,0,1,0,1,2
3192,120,Sat 11/16,@BRYANT,"L 87-64
",3,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,1,1,0
3193,120,Mon 11/18,@PROVIDENCE,"L 70-49
",2,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3194,120,Thu 11/21,@WAGNER,"L 68-61
",4,0-0,.000,0-0,.000,0-0,.000,0,0,0,1,1,0,0
3195,120,Sun 11/24,@#6 DUKE,"L 91-90
",5,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,1,0,0
3196,120,Wed 11/27,vsILLINOIS STATE,"W 87-76
",1,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,1,0,0
3197,120,Fri 11/29,@SAN FRANCISCO,"L 72-61
",2,0-0,.000,0-0,.000,0-0,.000,0,1,0,0,2,0,0
3198,120,Sat 11/30,vsSONOMA ST,"W 73-61
",5,0-0,.000,0-0,.000,0-0,.000,1,0,0,0,1,1,0
3199,120,Sun 12/15,vsQUINNIPIAC,"L 80-67
",3,0-0,.000,0-0,.000,0-0,.000,0,0,0,0,0,0,0
3200,120,Wed 12/18,@UMASS LOWELL,"W 62-48
",19,2-2,1.0,0-0,.000,0-0,.000,1,0,0,1,2,0,4
3201,120,Sat 12/21,@HARVARD,"L 74-68
",18,1-1,1.0,0-0,.000,0-0,.000,3,1,0,1,2,0,2
3202,120,Mon 12/30,vsLYNDON STATE COLLEGE,"W 88-48
",14,0-0,.000,0-0,.000,2-2,1.0,0,5,0,1,4,3,2
3203,120,Sat 1/4,@DARTMOUTH,"W 62-53
",11,1-1,1.0,0-0,.000,0-0,.000,0,1,0,0,0,0,2
3204,120,Wed 1/8,@YALE,"W 67-59
",11,0-2,.000,0-0,.000,0-0,.000,1,1,0,1,0,0,0
3205,120,Sat 1/11,vsALBANY,"W 68-38
",21,0-1,.000,0-0,.000,0-0,.000,4,3,0,4,0,1,0
3206,120,Thu 1/16,@MAINE,"W 83-46
",17,2-3,.667,0-0,.000,0-0,.000,3,1,1,2,2,0,4
